"time" "x" "y" "sx.a1" "sy.a1" "sx.a2" "sy.a2" "sx.b1" "sy.b1" "sx.b2" "sy.b2" "sx.c1" "sy.c1" "sx.c2" "sy.c2"
0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
0.05 1.00099676305506 0.997531566570664 -0.0499498205842496 -0.000185575272767125 -2.47431060048712e-05 -0.0493210249239137 0.0498629951343507 0.000185347817019497 2.47734492986687e-05 0.0494070800490759 0.0499248951615514 0.000185510024772728 2.4764745022612e-05 0.0493823756630625
0.1 1.00198709912871 0.995125166916083 -0.0997986401160972 -0.000735460342277631 -9.8054926486576e-05 -0.0973143239726117 0.0994537595727808 0.000733747110073146 9.82837249615413e-05 0.0976534297414042 0.0996992088721031 0.000734967267062513 9.82178759871135e-05 0.0975556619381322
0.15 1.00297108106443 0.992779107511906 -0.149545461233593 -0.00163915041713173 -0.000218519797263697 -0.144026171782183 0.148775054062059 0.00163346894905187 0.00021927921495882 0.144777508613785 0.149322368212912 0.00163751018725358 0.00021905997373868 0.144559928615144
0.2 1.00394878038061 0.990491746292614 -0.199189304877822 -0.00288650708235383 -0.000384763027917848 -0.189501003074319 0.197829584692145 0.00287321034052031 0.00038654174762223 0.190816274865287 0.198793818115776 0.00288265592236093 0.000386026578959153 0.190433684921528
0.25 1.00492026604649 0.988261520401555 -0.248729228504605 -0.00446792599128776 -0.000595473297682932 -0.233780693271386 0.246619958115446 0.00444227957263505 0.000598906610337908 0.235804582955062 0.248113031933751 0.00446047359559321 0.00059790896516734 0.235213251758242
0.3 1.00588560603181 0.986086907687329 -0.298164304943436 -0.00637409031432015 -0.000849370872333991 -0.276905668961765 0.295148740599897 0.00633031919558831 0.000855234751630299 0.279776103066666 0.29727949864543 0.00636132949879809 0.000853525259915705 0.278933719266971
0.35 1.0068448667999 0.983966439547997 -0.347493629620907 -0.00859605017357973 -0.00114521840696982 -0.318914542864434 0.343418438498872 0.0085273960660603 0.00115442213315571 0.322763019149787 0.346292727681706 0.00857596932317882 0.00115173017805847 0.321628632455451
0.4 1.00779811348108 0.981898694336096 -0.396716318422963 -0.0111251743617475 -0.00148181567957699 -0.359844354026166 0.391431505413129 0.0110239454803156 0.00149539540916368 0.364796224810779 0.395152246972367 0.011095468320334 0.00149141051265724 0.363330194845139
0.45 1.0087454099365 0.979882294569207 -0.445831506958195 -0.0139531286196219 -0.0018579975208093 -0.399730675499027 0.439190344791214 0.0138107461334823 0.00187711024023633 0.405905411087422 0.443857602241896 0.0139112089173585 0.0018714833764883 0.404069359719479
0.5 1.00968681874653 0.977915906917044 -0.494838350966227 -0.0170718733412133 -0.00227263388931959 -0.438607626128243 0.486697309562518 0.0168789175293927 0.00229855137539223 0.446119075696513 0.492408357347438 0.0170148784101492 0.00229089629130171 0.443875839729835
0.55 1.01062240125339 0.9759982403143 -0.543736025938571 -0.0204736485923878 -0.0027246284182628 -0.476507945357213 0.533954703952408 0.0202199026789425 0.00275873147285949 0.485464583856996 0.540804093908566 0.0203984535366279 0.00274862595923625 0.482778170120019
0.6 1.01155221760236 0.974128044114469 -0.592523726741557 -0.024150959492997 -0.00321291701442291 -0.513463066113257 0.580964785220844 0.0238254512364329 0.00325668996359721 0.523968227608423 0.589044410935105 0.0240541854265039 0.00324367707874542 0.520803770384972
0.65 1.01247632677608 0.972304106535124 -0.641200667308453 -0.0280965639176505 -0.00373646668439217 -0.549503176160691 0.627729765113108 0.027687605313811 0.00379149209982299 0.561655275757997 0.637128924519505 0.0279745869407674 0.00377508135339495 0.557978996186394
0.7 1.01339478662672 0.970525253221963 -0.689766080346193 -0.0323034612491023 -0.00429427444477796 -0.58465727424356 0.674251811216441 0.0317986865057083 0.00436222807140212 0.59855001960485 0.685057267544132 0.0321524210941593 0.00434189657129785 0.59432918687773
0.75 1.01430765390905 0.968790345783906 -0.738219217029165 -0.0367648809839506 -0.00488536620738891 -0.618953226993386 0.720533048354187 0.0361512827415703 0.00496801210181789 0.634675819301304 0.73282908937588 0.0365806893251619 0.00494320566322907 0.629878713690213
0.8 1.01521498431174 0.967098280415974 -0.786559346700914 -0.0414742721199007 -0.00550879573210049 -0.652417821946061 0.766575559902067 0.0407382360391931 0.00560798159877074 0.670055147069769 0.780444055568594 0.041252620570086 0.00557811581758021 0.664651024649508
0.85 1.01611683248727 0.965447986602029 -0.834785756583828 -0.0464252932526362 -0.0061636436386389 -0.68507681703866 0.812381389037607 0.0455526310754079 0.0062812963523461 0.704709627570829 0.827901847573583 0.0461616610671632 0.00624575764481071 0.698668686530216
0.9 1.0170132520807 0.963838425871271 -0.882897751492583 -0.0516118031645074 -0.0068490164576069 -0.71695498767328 0.85795253994626 0.0505877843223502 0.0069871377648523 0.738660076304157 0.875202162453988 0.0513014646664611 0.00694528437483756 0.731953424764803
0.95 1.01790429575754 0.96226859061009 -0.930894653551975 -0.0570278519106435 -0.00756404572258426 -0.748076171316655 0.903290978981356 0.05583723375613 0.00772470811381486 0.771926536016152 0.922344712603631 0.0566658836514005 0.00767587108891255 0.764526161279883
1 1.01879001523055 0.960737502926903 -0.978775801919271 -0.0626676723771427 -0.00830788710143374 -0.77846330976224 0.948398635779787 0.0612947291085516 0.0084932298466322 0.804528311215585 0.969329225470456 0.0622489600457892 0.00843671398443212 0.796407050365217
1.05 1.01967046128563 0.959244213567259 -1.02654055251099 -0.0685256722835269 -0.00907971956483896 -0.808138489192924 0.993277404335412 0.0669542226297897 0.00929194490530911 0.836484000908229 1.01615544328451 0.068044917377748 0.00922702967103207 0.82761551269087
1.1 1.02054568380677 0.957787800876624 -1.07418827773409 -0.0745964266034352 -0.00987874459021339 -0.837122978173511 1.0379291440321 0.0728098603320066 0.0101201140797727 0.867811529654308 1.0628231227904 0.0740481528737414 0.0100460544964116 0.858170267580495
1.15 1.02141573180012 0.956367369807874 -1.12171836622139 -0.0808746703744954 -0.0107041853988058 -0.865437263717131 1.08235568063867 0.0788559736804115 0.0109770163880219 0.898528177064818 1.10933203498411 0.0802532300528123 0.0108930439000668 0.888089363661481
1.2 1.02228065341725 0.954982050973396 -1.16913022257149 -0.0873552918935474 -0.0115552862259796 -0.89310108544471 1.12655880726565 0.085087071727287 0.0118619484830999 0.928650605751542 1.1556819648544 0.0866548717170654 0.0117672717949226 0.917390207907373
1.25 1.02314049597758 0.953630999736823 -1.21642326709272 -0.0940333262514567 -0.0124313116209023 -0.920133468064416 1.1705402852879 0.0914978336362843 0.0127742240838532 0.95819488791398 1.20187271112829 0.0932479532913252 0.0126680299737049 0.946089593263125
